,1.0yr,2.0yr,3.0yr,4.0yr,5.0yr
Jan5,0.04151890940807532,0.03592953292830956,0.03515702994485814,0.0268083590378785,0.029659570597993692
Jan6,0.0419355666562501,0.036307248145775045,0.035093551819681004,0.026834663553862523,0.029682447814932445
Jan7,0.041814465854991024,0.0362993437345305,0.035089669000683756,0.026469317341586678,0.029519782539966073
Jan8,0.04203152364273182,0.036467666184102854,0.0349050059956153,0.02653340652132039,0.029382598023076925
Jan9,0.04085765947275475,0.03625870410709797,0.03480178622723793,0.026499709540410785,0.02955677190094608
Jan12,0.04108060003167586,0.03632007649497504,0.034694997969453314,0.02649245973602805,0.02953939836653591
Jan13,0.04034149488420862,0.03648664922667474,0.034842661443846186,0.026230251114281792,0.029495525045458312
Jan14,0.04076505731596603,0.03665033069688176,0.03435188802117934,0.026046228841799416,0.029548547575871244
Jan15,0.041619505540111526,0.03653433249104999,0.03416176116966178,0.026024212406331494,0.02936046737915642
Jan16,0.04217155816878559,0.036261650397845804,0.03420101520528396,0.025807776922320967,0.029249643894896024
